Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,21,3255,2136,1793,113,533,7,586,2152,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src,21,3255,2136,1793,113,533,7,586,2152,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com,21,3255,2136,1793,113,533,7,586,2152,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks,21,3255,2136,1793,113,533,7,586,2152,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad,21,3255,2136,1793,113,533,7,586,2152,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet,21,3255,2136,1793,113,533,7,586,2152,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment1,1,107,60,53,2,17,0,30,108,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment10,2,414,335,270,24,28,0,51,200,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment2,1,153,96,81,4,30,0,27,95,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment3,1,176,114,99,4,31,0,31,115,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment4,1,289,209,192,5,49,0,31,115,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment5,2,228,133,110,6,40,1,55,186,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment6,4,658,411,353,17,115,3,132,484,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment7,5,914,588,488,36,184,3,142,537,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment8,1,91,50,37,4,10,0,31,117,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment9,2,175,119,91,10,17,0,39,143,0,0
