File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\DatabaseConnection.java,50,21,19,1,12,0,17,52,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment1\UserDetails.java,107,60,53,2,17,0,30,108,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment10\CSVFileDownloader.java,280,208,180,9,26,0,46,175,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment10\User.java,134,127,90,15,2,0,5,25,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment2\UserDetailsA.java,153,96,81,4,30,0,27,95,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment3\UserDetailsB.java,176,114,99,4,31,0,31,115,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment4\UserDetailsC.java,289,209,192,5,49,0,31,115,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment5\Login.java,173,106,88,6,31,0,36,134,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment5\Logout.java,55,27,22,0,9,1,19,52,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment6\EditUserDetails.java,188,113,98,4,38,0,37,138,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment6\Login.java,188,118,98,7,33,0,37,137,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment6\Logout.java,55,28,23,0,6,1,21,59,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment6\UpdateUserDetails.java,227,152,134,6,38,2,37,150,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment7\EditUserDetails.java,190,113,98,4,41,0,36,134,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment7\Login.java,267,166,141,11,58,0,43,169,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment7\Logout.java,56,29,24,0,6,1,21,59,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment7\UpdateUserDetails.java,238,161,141,7,40,2,37,150,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment7\User.java,163,119,84,14,39,0,5,25,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment8\FileUpload.java,91,50,37,4,10,0,31,117,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment9\FileDownload.java,127,77,61,5,16,0,34,116,0,0
D:\JVS\Source Code\Development Area\Varad\JSP Servlet Skillup\UserDetails\src\com\uks\varad\servlet\assignment9\Files.java,48,42,30,5,1,0,5,27,0,0
